ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002764	GO:0002764	immune response-regulating signaling pathway	56/720	364/18371	1.12419994101791e-18	5.32196252077877e-15	4.54768460350717e-15	Cd28/Bcl2/Rab7b/Sh2d1b1/Fcer1g/Esr1/Lilrb4a/Lilrb4a/Ube2n/Havcr2/Cd300ld3/Cd300lf/Prkch/Ighv1-47/Ninj1/Syk/Mef2c/Cd180/Erbin/Lgals3/Fyb/Nfam1/Nckap1l/Cd86/Trat1/Fpr2/Tnfrsf21/Treml4/Rftn1/Fer/Riok3/Cd14/Blnk/Pik3ap1/Alpk1/Lyn/Laptm5/Smpdl3b/Cd38/Tlr6/Tec/C3ar1/Clec4d/Ptpn6/Klri1/C5ar2/Tyrobp/Cd33/Prkcb/Plekha1/Irf7/Mfhas1/Nod2/Cyba/Casp1/Tlr13	56
GO:0002250	GO:0002250	adaptive immune response	60/720	452/18371	8.83262967297767e-17	2.09068344359381e-13	1.78651557017122e-13	Cd28/Inpp5d/Tnfrsf11a/Sh2d1b1/Fcgr3/Fcer1g/Ly9/Slamf7/Cd84/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Unc13d/Ighv1-47/Lyst/Syk/Mef2c/Ppp3cb/Ptk2b/Gpr183/Il7r/Cyrib/Csf2rb/Nckap1l/Bcl6/Cd86/Trat1/Alcam/Samsn1/Tnfrsf21/Treml4/Rftn1/Adgre1/Tcirg1/Entpd7/Card9/Notch1/Il2/Lyn/Bach2/Fgl2/Tec/C3ar1/Clec4a2/Clec4d/Ptpn6/Cracr2a/Tarm1/Pirb/Pou2f2/Ctsc/Prkcb/Il21r/Irf7/Nod2/Rab27a	60
GO:0002366	GO:0002366	leukocyte activation involved in immune response	40/720	278/18371	1.03260064673498e-12	1.6294438205478e-09	1.39238045101843e-09	Cd28/Dock10/Sh2d1b1/Fcer1g/Ly9/Cd84/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Nlrp3/Abr/Unc13d/Syk/Cd180/Lgals3/Ptk2b/Lcp1/Gpr183/Nckap1l/Bcl6/Myo1f/Fer/Zfp35/Entpd7/Spi1/Il2/Lyn/Fgl2/Lfng/Clec4d/Ptpn6/Cracr2a/Tyrobp/Lamp1/Rab27a	40
GO:0002263	GO:0002263	cell activation involved in immune response	40/720	282/18371	1.64734909132376e-12	1.94963764958167e-09	1.66599014683084e-09	Cd28/Dock10/Sh2d1b1/Fcer1g/Ly9/Cd84/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Nlrp3/Abr/Unc13d/Syk/Cd180/Lgals3/Ptk2b/Lcp1/Gpr183/Nckap1l/Bcl6/Myo1f/Fer/Zfp35/Entpd7/Spi1/Il2/Lyn/Fgl2/Lfng/Clec4d/Ptpn6/Cracr2a/Tyrobp/Lamp1/Rab27a	40
GO:0051249	GO:0051249	regulation of lymphocyte activation	52/720	465/18371	9.69020934488544e-12	7.69093564494781e-09	6.57200224213071e-09	Cd28/Inpp5d/Bcl2/Slamf7/Hlx/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Ighv1-47/Lyst/Cd83/Syk/Mef2c/Lgals3/Gpr183/Il7r/Cyrib/Nfam1/Nckap1l/Bcl6/Cd86/Samsn1/Runx1/Rasal3/Tnfrsf21/Tnfsf14/Zfp35/Socs6/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Tnfaip8l2/Lyn/Laptm5/Fgl2/Cd38/Rhoh/Gpnmb/Ptpn6/Tarm1/Bloc1s3/Tyrobp/Adam8/Lamp1/Gas6/Il15/Nod2/Sh3kbp1	52
GO:0042113	GO:0042113	B cell activation	39/720	285/18371	9.74770043719621e-12	7.69093564494781e-09	6.57200224213071e-09	Cd28/Dock10/Inpp5d/Bcl2/Enpp1/Lilrb4a/Lilrb4a/Tshr/Ighv1-47/Syk/Mef2c/Pik3r1/Cd180/Ptk2b/Gpr183/Il7r/Nfam1/Nckap1l/Bcl6/Cd86/Samsn1/Tnfrsf21/Tcirg1/Blnk/Spi1/Tpd52/Il2/Fcrl1/Lyn/Laptm5/Cd38/Lfng/Ptpn6/Pou2f2/Tyrobp/Prkcb/Nod2/Cxcr5/Sh3kbp1	39
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	33/720	214/18371	1.52666540793301e-11	1.03246200587926e-08	8.82251904163389e-09	Cd28/Bcl2/Sh2d1b1/Fcer1g/Lilrb4a/Lilrb4a/Ube2n/Prkch/Ighv1-47/Syk/Mef2c/Lgals3/Fyb/Nfam1/Nckap1l/Trat1/Fpr2/Tnfrsf21/Rftn1/Fer/Blnk/Lyn/Laptm5/Cd38/Tec/C3ar1/Clec4d/Ptpn6/Klri1/C5ar2/Tyrobp/Prkcb/Plekha1	33
GO:0002696	GO:0002696	positive regulation of leukocyte activation	44/720	366/18371	3.77360023279089e-11	2.23302793775401e-08	1.9081507492915e-08	Cd28/Inpp5d/Bcl2/Fcer1g/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Ighv1-47/Lyst/Cd83/Syk/Mef2c/Gpr183/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Cd38/Tlr6/Rhoh/Clec4d/Bloc1s3/Tyrobp/Ctsc/Adam8/Lamp1/Gas6/Il15/Nod2/Mmp8/Sh3kbp1	44
GO:0006909	GO:0006909	phagocytosis	35/720	249/18371	5.36119549136888e-11	2.67554580480402e-08	2.28628789003665e-08	Rab7b/Ncf2/Fcgr3/Fcer1g/Itgb2/Dock2/Abr/Myo18a/Cd300lf/Unc13d/Ighv1-47/Lyst/Elmo1/Syk/Myh9/Ncf4/Bin2/Nckap1l/Treml4/Spg11/Sirpa/Hck/Tm9sf4/Gm9733/Gm5150/Abca1/Rhoh/Arhgap25/Tyrobp/Gas6/Msr1/Il15/Nod2/Cyba/Rab27a	35
GO:0032103	GO:0032103	positive regulation of response to external stimulus	48/720	428/18371	5.65176553613016e-11	2.67554580480402e-08	2.28628789003665e-08	Cd28/Tnfrsf11a/Sell/Sh2d1b1/Fcgr3/Fcer1g/Slamf6/Aim2/Osm/Havcr2/Nlrp1a/Nlrp1b/Pik3cg/Ly86/Edn1/Ninj1/Syk/Cd180/Ptk2b/Nckap1l/Mefv/Dscam/Pla2g7/Tnfsf14/Emilin2/Riok3/Card9/Spi1/Tlr6/Alox5ap/C3ar1/Klri1/Tyrobp/Ctsc/Adam8/Irf7/F7/Lamp1/Gas6/Nod2/Cyba/Casp1/Mmp12/Mmp8/Ets1/Smad3/Adam10/Ccr1	48
