state,logFC,pval,padj,sig
BivProm,0.32588853888841623,8.884778824397637e-4,0.0020308065884337453,Sig. Up
EnhA,0.25380097127273843,0.005708842351930157,0.010149053070098057,Sig. Up
EnhWk,0.015856734912067138,0.8714904437109092,0.8714904437109092,Not Sig.
GapArtf,-0.7166897580089889,0.004007292690100497,0.008014585380200993,Sig. Down
HET,-0.6482026755893406,1.5545103316109233e-4,4.1453608842957954e-4,Sig. Down
OpenC,-0.13666922705392906,0.26998825632558987,0.30855800722924553,Not Sig.
PromF,0.6365081638303949,6.2206563720156575e-6,8.569337361087221e-5,Sig. Up
Quies,-0.574673127388226,1.8110618254828573e-5,9.658996402575238e-5,Sig. Down
ReprPC,-0.18724058621879788,0.07289017948368594,0.1166242871738975,Not Sig.
ReprPC_openC,0.12190835450229816,0.21120781179217038,0.2712639051697738,Not Sig.
TSS,0.7378467273061018,2.7567176650901672e-5,1.1026870660360669e-4,Sig. Up
Tx,0.15628290513117715,0.22040192295044117,0.2712639051697738,Not Sig.
TxEnh,0.41484623861920805,4.528060893728477e-5,1.4489794859931128e-4,Sig. Up
TxEx,0.48452460491703203,1.0711671701359027e-5,8.569337361087221e-5,Sig. Up
TxWk,-0.051435173394790264,0.6249579272876915,0.666621789106871,Not Sig.
ZNF,-0.3286729072957116,0.15450521302935508,0.22473485531542556,Not Sig.
