"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison"
"GO:0002253","GO:0002253","activation of immune response",231,0.530410149709325,2.38701525677149,1e-10,4.19714285714286e-08,3.31428571428571e-08,1850,"tags=40%, list=12%, signal=36%","Cd22/Cr2/Tlr9/Cd55/Cfp/C1qb/C1qc/Cmklr1/C1qa/A2m/C5ar2/Nfatc2/Mfap4/Tlr2/Ifi207/Cd28/Blnk/Lgals3/Plcg2/Themis2/Ifi209/Pvrig/Ptpn6/Nfam1/Vav3/Trim5/Mef2c/Nod2/Plcl2/Cd79b/Tec/Trim30a/Klhl6/Nlrc4/Cfb/C5ar1/Mndal/Prkcb/Trim30d/Ifi203/Nckap1l/Ptprc/Btk/C3ar1/Syk/Clec4n/Tlr4/Ptpn22/Lyn/Ptprj/Txk/Laptm5/Cd38/Fyb1/Pycard/C1ra/Lpxn/Myo1g/C4b/Fcna/Cd300a/Fpr1/C1rl/C1rb/Aim2/Fcer1g/Prkch/Trim12c/Lcp2/Appl2/Cfhr2/Psen2/Fcho1/Stap1/Zbp1/Csk/Lilrb4b/Icosl/Pram1/Tyrobp/Dennd1b/Serping1/Bmx/C3/Cd47/Cblb/Trim12a/Trex1/C4a/Dusp22/Cfhr4/Lat2/Cfh","cGASKOvsWT"
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production",165,0.552789359410463,2.35481879061589,1e-10,4.19714285714286e-08,3.31428571428571e-08,2649,"tags=50%, list=17%, signal=41%","Clec4a1/Cd33/Il10/Clec4a3/Tlr9/Il4/Lbp/Mmp8/Gas6/Ptafr/C5ar2/Tlr1/Tmem106a/Spn/Tlr2/Fcgr3/Havcr2/Plcg2/Ptpn6/Lilra5/Clec4a2/Clec4b1/Nod2/Sash3/Card9/Tlr6/Trim30a/Oas2/Vsir/Ptprc/Ptger4/Syk/Tlr4/Arrb2/Ptpn22/Ifngr1/Cd84/Irak3/Ptprj/Il18/Oas1a/Il1a/Pycard/Ccr5/Igf1/Cd300ld/Fcer1g/Clec4a4/Ccl4/Tlr3/Cyba/Psen2/Lilrb4b/Cd34/Sirpa/Pik3r1/Oas1c/Cd14/Ccl2/Adam8/Tyrobp/Ccr2/Nlrc3/Cd47/Trex1/Fadd/Zfp36/Ripk1/Lgals9/Slamf9/Selenok/Angpt1/Arg2/Il27ra/Lilrb4a/Syt11/Ifih1/Ccl3/Sphk2/Oas3/Trem2/Gpnmb","cGASKOvsWT"
"GO:0032640","GO:0032640","tumor necrosis factor production",163,0.552874966835297,2.34727522813716,1e-10,4.19714285714286e-08,3.31428571428571e-08,2649,"tags=50%, list=17%, signal=41%","Clec4a1/Cd33/Il10/Clec4a3/Tlr9/Il4/Lbp/Mmp8/Gas6/Ptafr/C5ar2/Tlr1/Tmem106a/Spn/Tlr2/Fcgr3/Havcr2/Plcg2/Ptpn6/Lilra5/Clec4a2/Clec4b1/Nod2/Sash3/Card9/Tlr6/Trim30a/Oas2/Vsir/Ptprc/Ptger4/Syk/Tlr4/Arrb2/Ptpn22/Ifngr1/Cd84/Irak3/Ptprj/Il18/Oas1a/Il1a/Pycard/Ccr5/Igf1/Cd300ld/Fcer1g/Clec4a4/Ccl4/Tlr3/Cyba/Psen2/Lilrb4b/Cd34/Sirpa/Pik3r1/Oas1c/Cd14/Ccl2/Tyrobp/Ccr2/Nlrc3/Cd47/Trex1/Fadd/Zfp36/Ripk1/Lgals9/Slamf9/Selenok/Angpt1/Arg2/Il27ra/Lilrb4a/Syt11/Ifih1/Ccl3/Sphk2/Oas3/Trem2/Gpnmb","cGASKOvsWT"
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",160,0.552135249315165,2.34278681811906,1e-10,4.19714285714286e-08,3.31428571428571e-08,2649,"tags=50%, list=17%, signal=42%","Clec4a1/Cd33/Il10/Clec4a3/Tlr9/Il4/Lbp/Mmp8/Gas6/Ptafr/C5ar2/Tlr1/Tmem106a/Spn/Tlr2/Fcgr3/Havcr2/Plcg2/Ptpn6/Lilra5/Clec4a2/Clec4b1/Nod2/Sash3/Card9/Tlr6/Trim30a/Oas2/Vsir/Ptprc/Ptger4/Syk/Tlr4/Arrb2/Ptpn22/Ifngr1/Cd84/Irak3/Ptprj/Il18/Oas1a/Il1a/Pycard/Ccr5/Igf1/Cd300ld/Fcer1g/Clec4a4/Ccl4/Tlr3/Cyba/Lilrb4b/Cd34/Sirpa/Pik3r1/Oas1c/Cd14/Ccl2/Adam8/Tyrobp/Ccr2/Nlrc3/Cd47/Trex1/Fadd/Zfp36/Ripk1/Lgals9/Selenok/Angpt1/Arg2/Il27ra/Lilrb4a/Syt11/Ifih1/Ccl3/Sphk2/Oas3/Trem2/Gpnmb","cGASKOvsWT"
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production",158,0.552218133458933,2.33038611402332,1e-10,4.19714285714286e-08,3.31428571428571e-08,2649,"tags=50%, list=17%, signal=42%","Clec4a1/Cd33/Il10/Clec4a3/Tlr9/Il4/Lbp/Mmp8/Gas6/Ptafr/C5ar2/Tlr1/Tmem106a/Spn/Tlr2/Fcgr3/Havcr2/Plcg2/Ptpn6/Lilra5/Clec4a2/Clec4b1/Nod2/Sash3/Card9/Tlr6/Trim30a/Oas2/Vsir/Ptprc/Ptger4/Syk/Tlr4/Arrb2/Ptpn22/Ifngr1/Cd84/Irak3/Ptprj/Il18/Oas1a/Il1a/Pycard/Ccr5/Igf1/Cd300ld/Fcer1g/Clec4a4/Ccl4/Tlr3/Cyba/Lilrb4b/Cd34/Sirpa/Pik3r1/Oas1c/Cd14/Ccl2/Tyrobp/Ccr2/Nlrc3/Cd47/Trex1/Fadd/Zfp36/Ripk1/Lgals9/Selenok/Angpt1/Arg2/Il27ra/Lilrb4a/Syt11/Ifih1/Ccl3/Sphk2/Oas3/Trem2/Gpnmb","cGASKOvsWT"
"GO:0002274","GO:0002274","myeloid leukocyte activation",191,0.516687254023005,2.2625613157635,1e-10,4.19714285714286e-08,3.31428571428571e-08,1978,"tags=42%, list=13%, signal=37%","Cd33/Il10/Aif1/Cnr2/Pirb/Cd48/Il4/Il16/Lbp/C1qa/Mmp8/Fgr/Dock2/Ptafr/Tlr1/Tmem106a/Tlr2/Fcgr3/Havcr2/Plcg2/Myo1f/Batf/Tspan32/Fcgr4/Ptpn6/Irf4/Grn/Unc13d/Tlr6/Rhoh/C5ar1/Ldlr/Itgb2/Fes/Syk/Tlr4/Lyn/Ifngr1/Cd84/Il18/Tgfbr2/Pycard/Cd300a/Itgam/Spi1/Milr1/Fcer1g/Rac2/Lcp2/Tlr3/Ctsc/Gpr137b/Crlf2/Cebpa/Stap1/Lilrb4b/Batf3/Cst7/Ptpre/Pilrb1/Mir7116/Pld2/Myo18a/Pram1/Nampt/Jun/Tyrobp/Ccr2/Tgfb1/Abr/Nmi/Cd244a/Cd300lf/Cd37/Trex1/Lat2/Batf2/Slc11a1/Il15/Casp1/Snap23","cGASKOvsWT"
"GO:0042113","GO:0042113","B cell activation",227,0.500343783157712,2.24661451310185,1e-10,4.19714285714286e-08,3.31428571428571e-08,2048,"tags=33%, list=13%, signal=29%","Spib/Ntrk1/Il10/Cd22/Cr2/Tlr9/Il4/Fcgr2b/Pou2f2/Fcrl1/Gapt/Tnfsf13/Nfatc2/Lyl1/Cd28/Blnk/Plcg2/Themis2/Batf/Ptpn6/Cd86/Nfam1/Vav3/Mef2c/Nod2/Sash3/Jak3/Plcl2/Pik3cd/Cd79b/Prkcb/Il2rg/Nckap1l/Slamf8/Tnfsfm13/Ptprc/Prdm1/Btk/Inpp5d/Syk/Bank1/Tlr4/Tnfrsf13b/Lyn/Ikzf1/Ptprj/Hhex/Enpp1/Laptm5/Cd38/Shld1/Irf8/Cd300a/Lfng/Gpr183/Spi1/Dclre1c/Dock10/Cd180/Xrcc4/Pkn1/Nfatc1/Pik3r1/Icosl/Tyrobp/Samsn1/Tgfb1/Tpd52/Lat2/Adam17/Itm2a/Tnfrsf21/Skap2/Hdac9/Dock11","cGASKOvsWT"
"GO:0002764","GO:0002764","immune response-regulating signaling pathway",304,0.458665443993004,2.10227850922109,1e-10,4.19714285714286e-08,3.31428571428571e-08,2654,"tags=38%, list=17%, signal=32%","Cd33/Cd22/Tlr9/Cmklr1/Slc15a2/Lbp/Lacc1/Tlr8/C5ar2/Tlr1/Nfatc2/Tlr7/Tlr2/Havcr2/Cd28/Blnk/Unc93b1/Lgals3/Plcg2/Themis2/Pvrig/Ptpn6/Irf4/Cd86/Nfam1/Vav3/Mef2c/Nod2/Plcl2/Cd79b/Cd300ld3/Tlr6/Tec/Trim30a/Klhl6/C5ar1/Prkcb/Nckap1l/Pik3ap1/Ptprc/Btk/C3ar1/Syk/Tasl/Clec4n/Tlr4/Arrb2/Ptpn22/Lyn/Ddx60/Irak3/Ptprj/Txk/Oas1a/Laptm5/Cd38/Sh2d1b1/Fyb1/Lpxn/Myo1g/Cd300a/Fpr1/Tlr13/Rab7b/Fcer1g/Prkch/Lcp2/Appl2/Cd180/Tlr3/Dhx58/Cyba/Psen2/Fcho1/Stap1/Csk/Lilrb4b/Tifa/Icosl/Esr1/Pram1/Oas1c/Cd14/Rps6ka3/Tyrobp/Dennd1b/Bmx/Slc15a3/Nmi/Cd300lf/Cd47/Cblb/Dusp22/Lat2/Sarm1/Ninj1/Casp1/Tnfrsf21/Sec14l1/Dusp3/Lgals9/Rftn1/Otulin/Cmtm3/Rnf135/Treml4/Lilrb4a/Nr1h3/Igtp/Ifih1/Gpatch3/Cd40/Oas3/Clec4d/Trem2/Bcl2/Tnip1","cGASKOvsWT"
"GO:0050778","GO:0050778","positive regulation of immune response",414,0.44313599305194,2.09568687177691,1e-10,4.19714285714286e-08,3.31428571428571e-08,2113,"tags=35%, list=14%, signal=31%","Il10/Cd4/Cd22/Cr2/Nlrp10/Tlr9/Gpr31b/Cd55/Cfp/C1qb/C1qc/Cmklr1/Il4/Lbp/C1qa/A2m/Fgr/Gbp5/Tlr8/Ptafr/C5ar2/Tnfsf13/Nfatc2/Mfap4/Tlr2/Cadm1/Ifi207/Fcgr3/Havcr2/Cd28/Blnk/Lgals3/Plcg2/Themis2/Fcgr1/Ifi209/Pvrig/Ptpn6/Nfam1/Vav3/Trim5/Hlx/Mef2c/Nod2/Sash3/Plcl2/Card9/Cd79b/Nlrc5/Tec/Trim30a/Klhl6/Nlrc4/Cfb/C5ar1/Mndal/Prkcb/Trim30d/Ifi203/Itgb2/Nckap1l/P2rx7/Tnfsfm13/Ptprc/Btk/C3ar1/Syk/Tasl/Clec4n/Tlr4/Ptpn22/Lyn/Ptprj/Txk/Il18/Vav1/Laptm5/Cd38/Sh2d1b1/Shld1/Fyb1/Pycard/Nlrp3/C1ra/Slamf6/Lpxn/Myo1g/C4b/Fcna/Cd300a/Itgam/Fpr1/C1rl/C1rb/Spi1/Aim2/Fcer1g/Prkch/Trim12c/Lcp2/Appl2/Cfhr2/Psen2/Ikbke/Fcho1/Stap1/Zbp1/Csk/Lilrb4b/Pld2/Icosl/Parp9/Pram1/Adam8/Tyrobp/Ccr2/Dennd1b/Tgfb1/Serping1/Bmx/C3/Nmi/Cd47/Srebf1/Cblb/Trim12a/Trex1/C4a/Dusp22/Cfhr4/Lat2/Cfh/Fadd/H2-T23/Slc11a1/Il15/Lamp1/Cyrib/Tnfrsf21/Dusp3/Lgals9/Rftn1/C1s2","cGASKOvsWT"
"GO:0002252","GO:0002252","immune effector process",479,0.416389276665405,2.0210444188633,1e-10,4.19714285714286e-08,3.31428571428571e-08,2626,"tags=38%, list=17%, signal=33%","Cxcl5/Fgl2/Il10/Cd22/Cr2/Tlr9/Cd55/Cfp/Pirb/C1qb/C1qc/Il4/Lbp/Fcgr2b/C1qa/A2m/Lacc1/Hfe/Ptx3/Pou2f2/Fgr/Dock2/Ptafr/Gapt/Tnfsf13/Mfap4/Spn/Tlr2/Cadm1/Fcgr3/Havcr2/Cd28/Apoa2/Lgals3/Plcg2/Myo1f/Batf/Il21r/Fcgr1/Ptpn6/Irf4/Cd86/Hlx/Was/Grn/Nod2/Sash3/Jak3/Plcl2/Unc13d/Card9/Cfb/H2-Ob/Pik3r6/Vsir/Itgb2/Nckap1l/P2rx7/Slamf8/Tnfsfm13/Ptprc/Btk/Inpp5d/Ptger4/Fes/Syk/Tlr4/Arrb2/Ptpn22/Lyn/Ncf1/Lcp1/Cd84/Ddx60/Irak3/Ptprj/Il18/Ly9/Enpp1/Vav1/Laptm5/Sh2d1b1/Shld1/Irf8/Il6ra/Pycard/Nlrp3/C1ra/Sema4a/Slamf6/Myo1g/C4b/Fcna/Cd300a/Itgam/Csf2rb/C1rl/C1rb/Lfng/Gpr183/Spi1/Csf2rb2/Milr1/Fcer1g/Rac2/Dock10/Appl2/Cd180/Tnfrsf14/Xrcc4/Tlr3/Coro1a/Dhx58/Cfhr2/Ctsc/Cracr2a/Psen2/Crlf2/Stap1/Lilrb4b/Pkn1/Pld2/Icosl/Myo18a/Serpinb9/Irak4/Pram1/Ccl2/Tyrobp/Cxcl1/Ccr2/Dennd1b/Tgfb1/Serping1/Abr/C3/Nmi/Cd244a/Cd47/Cd37/Trex1/Cuedc2/C4a/Dusp22/Cfhr4/Lat2/Cfh/Fadd/H2-T23/Il27/Slc11a1/Tusc2/Lamp1/Itm2a/Cyrib/Snap23/Dock11/Lgals9/Rftn1/C1s2/Slamf9/Selenok/Enpp3/H2-M3/Angpt1/H2-T15/Cd300lb/Il27ra/Treml4/Lilrb4a/Il1r1/Gba1/Vamp8/Kdm5d/Tnfrsf1b/Icam1/Cd5l/Stat5b/Tnfsf18/Sphk2/Plekhm2/Cd40/Clec4d/Trem2","cGASKOvsWT"
