"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison"
"GO:0000323","GO:0000323","lytic vacuole",448,0.406792799798521,1.93911406633873,1e-10,3.575e-08,3e-08,2996,"tags=44%, list=20%, signal=36%","Slc46a3/Pgap6/Mcoln3/Cxcr4/Tlr9/Tm4sf5/Apoe/Atp13a2/Rragd/Trpm2/Marchf1/Nos1/Sgsh/Slc2a6/Tlr7/Dpp7/Man2b1/Lgmn/Unc93b1/Slc26a11/Mcoln2/Hck/Grn/Unc13d/Serpinb1a/Arsg/Cd300ld3/Tecpr1/Acp2/H2-Ob/Ldlr/Cd68/Cln3/Hpse/Tasl/Ifitm2/Arsk/Marcks/Gusb/Laptm5/Ctso/Slc29a3/Mfsd1/Ggh/Atp6v0c/Galc/Rab7b/Npc1/Rnaset2b/Ctns/Fuca2/Manba/Dram2/Slc38a9/Dnase2a/Ctsc/Ctsb/Clcn7/Pld3/Psen2/Rnf13/Man2b2/Vps33a/Mfsd12/Gpr137b/Hyal1/Glmp/Tm6sf1/Slc36a1/Ctla2b/Wdr81/Slc66a1/Plekhm1/Ank3/Snx2/Atp6v0d1/Ids/Cst7/Cd34/Vps18/Ifi30/Lmbrd1/Neu1/Rragc/Tmem79/Hexa/Abcd1/Slc17a5/Ncoa4/Dram1/Ctsd/Litaf/Trim29/Pon2/Atp6v1g1/Tpp1/Tfeb/Pla2g15/Gla/Myo7a/Ccdc115/Slc35f6/Myo5a/Adam8/Borcs6/Mt1/Slc15a3/Dtx3l/Ctss/Ramp3/Psap/Zfyve26/Znrf2/H2-T23/Atp6ap2/Fuca1/Fnip2/Ctsz/Marchf2/Flcn/Rnaset2a/Slc11a1/Rab7/Abca3/Lamp1/Sppl2a/Snap23/Gns/Scarb1/Ap5s1/Lamtor4/Lamtor1/Borcs8/Asah1/Vps26a/Ppt1/Snx1/Pip4k2a/H2-M3/Ifitm3/Siae/Chmp1b/Treml4/Lamtor2/Glb1/Cln5/Syt11/Vma21/Gba1/Anxa11/Vamp8/Ctsa/Slc39a14/Gm2a/Vps11/Trim17/Lamp2/Vps39/Sphk2/Arrdc3/Tmem9b/Plbd2/Plekhm2/Marchf8/Mpz/Bri3/Pip4p1/Hexb/Ifnar1/Ctsf/Arsa/Naga/Prtn3/Vps33b/Pik3c3/Tpcn2/Hgsnat/Abca2/H2-D1/Tpcn1/Irgm1/Snapin/Lrba/Fnbp1/Snx16/Stx7/Prkcd/Map1lc3b/Ncstn/Tmem192/Rmc1/Rab14/Sort1/Rab39/Bloc1s1","cGASKOvsWT"
"GO:0005764","GO:0005764","lysosome",448,0.406792799798521,1.93911406633873,1e-10,3.575e-08,3e-08,2996,"tags=44%, list=20%, signal=36%","Slc46a3/Pgap6/Mcoln3/Cxcr4/Tlr9/Tm4sf5/Apoe/Atp13a2/Rragd/Trpm2/Marchf1/Nos1/Sgsh/Slc2a6/Tlr7/Dpp7/Man2b1/Lgmn/Unc93b1/Slc26a11/Mcoln2/Hck/Grn/Unc13d/Serpinb1a/Arsg/Cd300ld3/Tecpr1/Acp2/H2-Ob/Ldlr/Cd68/Cln3/Hpse/Tasl/Ifitm2/Arsk/Marcks/Gusb/Laptm5/Ctso/Slc29a3/Mfsd1/Ggh/Atp6v0c/Galc/Rab7b/Npc1/Rnaset2b/Ctns/Fuca2/Manba/Dram2/Slc38a9/Dnase2a/Ctsc/Ctsb/Clcn7/Pld3/Psen2/Rnf13/Man2b2/Vps33a/Mfsd12/Gpr137b/Hyal1/Glmp/Tm6sf1/Slc36a1/Ctla2b/Wdr81/Slc66a1/Plekhm1/Ank3/Snx2/Atp6v0d1/Ids/Cst7/Cd34/Vps18/Ifi30/Lmbrd1/Neu1/Rragc/Tmem79/Hexa/Abcd1/Slc17a5/Ncoa4/Dram1/Ctsd/Litaf/Trim29/Pon2/Atp6v1g1/Tpp1/Tfeb/Pla2g15/Gla/Myo7a/Ccdc115/Slc35f6/Myo5a/Adam8/Borcs6/Mt1/Slc15a3/Dtx3l/Ctss/Ramp3/Psap/Zfyve26/Znrf2/H2-T23/Atp6ap2/Fuca1/Fnip2/Ctsz/Marchf2/Flcn/Rnaset2a/Slc11a1/Rab7/Abca3/Lamp1/Sppl2a/Snap23/Gns/Scarb1/Ap5s1/Lamtor4/Lamtor1/Borcs8/Asah1/Vps26a/Ppt1/Snx1/Pip4k2a/H2-M3/Ifitm3/Siae/Chmp1b/Treml4/Lamtor2/Glb1/Cln5/Syt11/Vma21/Gba1/Anxa11/Vamp8/Ctsa/Slc39a14/Gm2a/Vps11/Trim17/Lamp2/Vps39/Sphk2/Arrdc3/Tmem9b/Plbd2/Plekhm2/Marchf8/Mpz/Bri3/Pip4p1/Hexb/Ifnar1/Ctsf/Arsa/Naga/Prtn3/Vps33b/Pik3c3/Tpcn2/Hgsnat/Abca2/H2-D1/Tpcn1/Irgm1/Snapin/Lrba/Fnbp1/Snx16/Stx7/Prkcd/Map1lc3b/Ncstn/Tmem192/Rmc1/Rab14/Sort1/Rab39/Bloc1s1","cGASKOvsWT"
"GO:0005911","GO:0005911","cell-cell junction",399,-0.443344777028651,-1.81390181919399,1.11925150733326e-09,2.66754942581095e-07,2.23850301466653e-07,2454,"tags=31%, list=16%, signal=26%","Myh9/Traf4/Vcl/Tjp1/Amot/Flna/Pnn/Fgfrl1/Pals2/Fscn1/Fat1/Gjb5/Prkcz/Ccdc85c/Ssx2ip/Fzd4/Itgb3/Tjp2/Cldn12/Dlg4/Gjb4/Amotl1/Plekhg5/Atp7b/Ptk2/Actn4/Prkd1/Flrt1/Dst/Sptbn4/Gja4/Tmem47/Shroom4/Lims2/Rangrf/Lck/Vegfa/Ncam1/Ajuba/Kazn/Fabp7/Actn1/Atp1b1/Stard10/Ybx3/Nectin1/Gja1/Cdh22/Gjb2/Calb2/Cdc42bpa/Mylk/Jag1/Adcyap1r1/Adra1b/Mmp13/Fermt2/Sv2a/Trpc4/Rnd1/Baiap2l2/Efna5/Ezr/Dll1/Pvr/Shroom3/Rasip1/Magi1/Dpp4/Ptprk/F11r/Ajm1/Cdh3/Sptbn2/Pdlim7/Ldb3/Smad7/Tchp/Hmcn1/Shroom1/Des/Sorbs1/Pkp2/Pdlim1/Crb2/Ankrd23/Itga5/Kit/Cldn15/Gjb3/Epha2/Cdh1/Perp/Ccdc85a/Ocln/Lin7b/Cxadr/Pard6b/Gja3/Vinac1/Pkp3/Cdh24/Trpc6/Ptpru/Shroom2/Akap6/Adgrl3/Pecam1/Podxl/Cdh5/Dsc2/Pcdh12/Cdh6/Cldn10/Epb41l4b/Krt8/Esam/Cldn3/Cldn5/Cdh10/Igsf11/Fgfr4","cGASKOvsWT"
"GO:0043292","GO:0043292","contractile fiber",185,-0.504525582237714,-1.92469010872328,7.71257801359172e-08,1.10289865594362e-05,9.25509361631006e-06,2178,"tags=32%, list=14%, signal=28%","Csrp1/Csrp2/Itgb1bp2/Trpc1/Sync/Actn4/Dst/Synpo2l/Cfl2/Tnnt2/Fbxo32/Palld/3425401B19Rik/Ppp1r12b/Tpm2/Actn1/Abcc9/Gja1/Simc1/Ablim2/Kbtbd13/Hrc/Cryab/Synm/Nexn/Myl9/Jph2/Neb/Acta2/Syne2/Jph1/Tpm1/Tmod4/Myom1/Lmod1/Pdlim7/Ldb3/Krt19/Npnt/Dmd/Des/Rtl1/Hspb1/Pdlim1/Kcnj8/Ankrd23/Myzap/Tnnt3/Myom2/Ankrd1/Ryr3/Fhod3/Asb2/Myh11/Pecam1/Tnni1/Krt8/Myl7/Acta1/Nebl","cGASKOvsWT"
"GO:0009897","GO:0009897","external side of plasma membrane",317,0.381299208769972,1.76109313261819,7.68423305051265e-08,1.10289865594362e-05,9.25509361631006e-06,1309,"tags=30%, list=9%, signal=28%","Scara5/Csf3r/Clec4a1/Gfra1/Cd33/Pira2/Cxcr3/Entpd1/Cd4/Cd22/Stab2/Clec4a3/Cr2/Clec10a/Cxcr4/Cd55/Apoe/Pirb/Cd83/Cd163/Cd48/Il4/Gfra2/Fcgr2b/P2ry12/Hfe/Vwf/Ly6c1/Abca1/Anpep/Tlr8/Tnfsf13/Ebi3/Spn/Tlr2/Muc16/Fcgr3/Cd28/P2rx1/Ccr1/Lgals3/Il21r/Fcgr1/Fcgr4/Folr2/Cd86/Cd200r2/Kcnma1/Clec4a2/Clec4b1/Sele/Gm4787/Cd79b/Siglece/Adgre1/Il2rg/Vsir/Ldlr/Itgb2/P2rx7/Ptprc/Itga6/Nrg1/Clec4n/Tlr4/Ly6a/Cd200r4/Tnfrsf13b/Cd84/Tnfrsf11a/Ly9/Tgfbr2/Dlk1/Il6ra/Slamf6/Fcna/Itgam/Csf2rb/Itga4/Csf2ra/Ccr5/Csf2rb2/Fcer1g/Clec4a4/Kdr/Gfra4/S1pr1/Tnfrsf14/Clec2g/Alcam/Ctsb/L1cam/Crlf2/Cd200r1","cGASKOvsWT"
"GO:0005912","GO:0005912","adherens junction",123,-0.545010788181154,-1.98390819875153,6.48104552899507e-07,7.72324592205246e-05,6.48104552899507e-05,1344,"tags=28%, list=9%, signal=26%","Vegfa/Ajuba/Nectin1/Cdh22/Jag1/Fermt2/Rnd1/Efna5/Ezr/Dll1/Pvr/Shroom3/Magi1/Cdh3/Pdlim7/Ldb3/Smad7/Hmcn1/Shroom1/Sorbs1/Pkp2/Pdlim1/Cdh1/Ccdc85a/Lin7b/Cxadr/Vinac1/Pkp3/Cdh24/Shroom2/Cdh5/Dsc2/Cdh6/Esam/Cdh10","cGASKOvsWT"
"GO:0030017","GO:0030017","sarcomere",157,-0.50364925055652,-1.88863331182636,9.63688908936076e-07,8.61296962361618e-05,7.22766681702057e-05,2178,"tags=36%, list=14%, signal=31%","Vcl/Lman1/Flna/Csrp1/Csrp2/Itgb1bp2/Trpc1/Sync/Actn4/Dst/Synpo2l/Cfl2/Tnnt2/Fbxo32/Palld/3425401B19Rik/Ppp1r12b/Tpm2/Actn1/Abcc9/Simc1/Kbtbd13/Hrc/Cryab/Synm/Nexn/Myl9/Jph2/Neb/Syne2/Jph1/Tpm1/Tmod4/Myom1/Lmod1/Pdlim7/Ldb3/Krt19/Dmd/Des/Rtl1/Hspb1/Pdlim1/Ankrd23/Myzap/Tnnt3/Myom2/Ankrd1/Ryr3/Fhod3/Asb2/Tnni1/Krt8/Myl7/Acta1/Nebl","cGASKOvsWT"
"GO:0098552","GO:0098552","side of membrane",487,0.326430592225807,1.55790911475425,8.86321374261687e-07,8.61296962361618e-05,7.22766681702057e-05,1945,"tags=28%, list=13%, signal=26%","Scara5/Csf3r/Clec4a1/Gfra1/Cd33/Pira2/Cxcr3/Entpd1/Cd4/Cd22/Stab2/Clec4a3/Cr2/Clec10a/Cxcr4/Cnr2/Cd55/Apoe/Pirb/Cd83/Cd163/Cd48/Il4/Gfra2/Traf1/Fcgr2b/P2ry12/Hfe/Vwf/Ly6c1/Abca1/Fgr/Anpep/Tlr8/Gng2/Sla/Tnfsf13/Ebi3/Spn/Tlr2/Muc16/Gngt2/Fcgr3/Cd28/P2rx1/Ccr1/Lgals3/Il21r/Fcgr1/Fcgr4/Folr2/Cd86/Cd200r2/Kcnma1/Clec4a2/Clec4b1/Hck/Gem/Sele/Gm4787/Cd79b/Siglece/Adgre1/Il2rg/Vsir/Ldlr/Itgb2/P2rx7/Ptprc/Itga6/Fes/Gna15/Nrg1/Syk/Clec4n/Tlr4/Gng7/Ly6a/Cd200r4/Tnfrsf13b/Ptpn22/Lyn/Cd84/Rgs2/Tnfrsf11a/Ly9/Tgfbr2/Dlk1/Il6ra/Slamf6/Fcna/Rgs8/Itgam/Csf2rb/Itga4/Csf2ra/Ccr5/Rasal3/Ptpn7/Csf2rb2/Fcer1g/Clec4a4/Kdr/Ptpn1/Gfra4/S1pr1/Tnfrsf14/Clec2g/Alcam/Ctsb/L1cam/Crlf2/Cd200r1/Plekha4/Mgl2/Pdgfra/Cd34/Icosl/Gna12/Enox2/Litaf/Trf/Gnao1/Cd14/Stac2/Ccr2/Cd244a/Rasa3/Il11ra1/Esyt1/Cfh/H2-T23/Atp6ap2/Antxr2/Gng11/Lamp1/Sppl2a/Kcnab2","cGASKOvsWT"
"GO:0032432","GO:0032432","actin filament bundle",89,-0.584611453451578,-2.04622570056219,1.675487915502e-06,0.000118091576397631,9.90978263476624e-05,2906,"tags=46%, list=19%, signal=37%","Dlc1/Synpo/Pdlim5/Myl12a/Myh9/Vcl/Amot/Flna/Mprip/Fscn1/Prkcz/Pls3/Lpp/Tpm4/Ptk2/Actn4/Dst/Cnn2/Palld/Shroom4/Enah/Myh10/Flnb/Actn1/Mylk/Fermt2/Ablim3/Cryab/Myl9/Acta2/Tpm1/Pdlim7/Ldb3/Sorbs1/Rflnb/Pdlim1/Vil1/Rflna/Myh11/Acta1/Nebl","cGASKOvsWT"
"GO:0030016","GO:0030016","myofibril",175,-0.48839435039684,-1.84858916096564,1.71074332032945e-06,0.000118091576397631,9.90978263476624e-05,2537,"tags=34%, list=17%, signal=29%","Pde4dip/Myl12a/Vcl/Lman1/Flna/Csrp1/Csrp2/Itgb1bp2/Trpc1/Sync/Actn4/Dst/Synpo2l/Cfl2/Tnnt2/Fbxo32/Palld/3425401B19Rik/Ppp1r12b/Tpm2/Actn1/Abcc9/Simc1/Ablim2/Kbtbd13/Hrc/Cryab/Synm/Nexn/Myl9/Jph2/Neb/Syne2/Jph1/Tpm1/Tmod4/Myom1/Lmod1/Pdlim7/Ldb3/Krt19/Dmd/Des/Rtl1/Hspb1/Pdlim1/Kcnj8/Ankrd23/Myzap/Tnnt3/Myom2/Ankrd1/Ryr3/Fhod3/Asb2/Tnni1/Krt8/Myl7/Acta1/Nebl","cGASKOvsWT"
