"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison"
"GO:0140375","GO:0140375","immune receptor activity",95,0.559755965578581,2.22124734155926,1.69108730804672e-08,1.07910772656166e-05,9.39613705549443e-06,1145,"tags=39%, list=8%, signal=36%","Csf3r/Pira2/Cxcr3/Cd4/Pira12/Lilra6/Cr2/Cxcr4/Pira13/Pirb/Cmklr1/Gfra2/Fcgr2b/C5ar2/Il1r2/Ebi3/Mfsd6/Fcgr3/Ccr1/Il21r/Fcgr1/Fcgr4/Lilra5/C5ar1/Il2rg/Il10ra/C3ar1/Ifngr1/Il10rb/Il6ra/Csf2rb/Fpr1/Csf2ra/Ccr5/Csf2rb2/Fcer1g/Gfra4","cGASKOvsWT"
"GO:0004888","GO:0004888","transmembrane signaling receptor activity",472,0.348099475495171,1.67183196361883,2.03797493212779e-08,1.07910772656166e-05,9.39613705549443e-06,1308,"tags=27%, list=9%, signal=26%","Grin2a/Fcrla/Ntrk1/Fcrl2/Mchr1/Csf3r/Gpr165/Ednrb/Pira2/Cxcr3/Agtr1b/Plxnb3/Cd4/Pira12/Lilra6/Cr2/P2ry13/Mrc1/Vipr1/Gpr162/Ntrk3/Cxcr4/Tlr9/Cnr2/Gpr31b/Gpr34/Pira13/Pirb/Cmklr1/Gfra2/Lpar5/Fcgr2b/P2ry12/Gpr132/Gpr141/Abca1/Mertk/Gpr88/Gpr160/Tlr8/Fcrl1/Ptafr/C5ar2/Il1r2/Mrgpre/Tlr1/P2ry6/Ebi3/Mfsd6/Spn/Tlr7/Tlr2/Fcgr3/P2rx1/Ccr1/Cd300ld4/Il21r/Cysltr1/P2ry14/Cysltr2/Fcgr1/Fcgr4/Ptpn6/Lilra5/Nfam1/Cd300c2/Plxnd1/Glp2r/Sele/Cd79b/Cd300ld3/Tlr6/Gpr171/Adgre1/Gpr82/C5ar1/Il2rg/Trpv4/Itgb2/P2rx7/Il10ra/Avpr2/Ptger4/P2rx4/C3ar1/Tlr4/Efemp1/Plxnc1/Csf1r/Ifngr1/Adrb2/Il10rb/Ogfrl1/Adra2b/Tnfrsf11a/Erbb3/Tgfbr2/Ptgfr/Il6ra/Adra1a/Gm5127/Cd300a/Csf2rb/Fpr1/Tlr13/Gabrb3/Csf2ra/Ccr5/Or8b53/Mrgprf/Cd300ld/Gpr183/Csf2rb2/Milr1/Fcer1g/Kdr/Gfra4/Adgrv1/S1pr1/Cd180/Tpra1/Tlr3/Gprc5c/Galr2/Ptger1/L1cam/Gpr65/Crlf2","cGASKOvsWT"
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds",99,0.520554425256618,2.0773766335455,3.03867001846462e-07,0.000107265051651801,9.3399120567544e-05,3574,"tags=53%, list=24%, signal=40%","Man1a/Tlr1/Tlr2/Man2b1/Tlr6/Man1c1/Hpse/Naglu/Afp/Tlr4/Gusb/Cd38/Nagpa/Tlr13/Galc/Lyz2/Ganc/Glb1l2/Fuca2/Manba/Man2b2/Hyal1/Neu1/Hexa/Gla/Asah2/Lyz1/Sarm1/Fuca1/Neil1/Pcna/Il1rl2/Glb1/Cln5/Il1r1/Neil3/Gba1/Gm2a/Man2c1/Cemip2/Hexb/Naga/Glb1l/Acer3/Lyzl4/Neil2/Smpdl3b/Hyal2/Bst1/Macrod1/Idua/Gaa","cGASKOvsWT"
"GO:0005198","GO:0005198","structural molecule activity",433,-0.398304466538007,-1.63366052720582,1.23327157877501e-06,0.000326508650480683,0.00028430155342287,4800,"tags=49%, list=32%, signal=34%","Rps13/Mrpl35/Rps25/Rpl41/Mrps15/Mrps10/Nup153/Rpl3/Rpl12/Mrpl17/Rpl36/Nup160/Rpl22/Nup188/Rpl32/Odf2/Rps17/Rpl37/Lama2/Cldn7/Copb1/Rps18/Rpl23a/Nid2/Srpx2/Rps12/Dlg3/Rpl27a/Ndc1/Rps27l/Mrpl21/Rpl13/Mrpl11/Mrpl12/Rpl26/Obscn/Rpl21/Rps16/Dap3/Rpl19/Rpl30/Mrpl9/Rpl17/Creld1/Rpl7a/Rps5/Rpl29/Nup88/Rpl6/Rps19/Rps27/Nup85/Rpl18a/Mrps31/Rpl27/Rpl7/Nid1/Creld2/Rpl31/Rpl38/Tln2/Rps26/Erc1/Lamc2/Rpl15/Col5a1/Rpl11/Rps2/Mrps5/Mrps22/Lamb2/Rpl36a/Mrps30/Igf1r/Rps8/Rpl10a/Copg1/Rps3a1/Bgn/Marveld1/Mrps6/Rpl14/Tubb6/Gm49336/Rps15a/Rpl5/Rps27a/Rpsa/Mpp2/Rpl4/Ltbp1/Rps3/Rpl8/Hspg2/Col4a5/Rpl13a/Mrpl30/Rps6/Fbln2/Sec31a/Rpl18/Copb2/Shank3/Mrpl15/Crybg3/Rpl9/Rpl24/Thbs1/Mrps18b/Sec13/Psmd11/Tubg2/Oit3/Lamb1/Mfge8/Col8a1/Rps27rt/Dlg1/Col1a2/Pom121/Spock2/Hmga1/Spon1/Igfbp7/Cpox/Col23a1/Vcl/Nup107/Agrn/Col1a1/Hmox1/Pls3/Csrp1/Csrp2/Col4a6/Bmper/Tuba4a/Hmcn2/Papln/Hspb6/Dlg4/Col5a2/Col4a2/Col24a1/Sparc/Pxdn/Dst/Col12a1/Col27a1/Col17a1/Snta1/Postn/Tnnt2/Pcolce2/Hspb2/Lama5/Vwa1/Krt10/Col6a6/Tpm2/Actn1/Col4a1/Tnc/Erc2/Ltbp2/Eln/Tinagl1/Gfap/Col2a1/Cryab/Synm/Nexn/Col4a3/Jph1/Tpm1/Dlgap1/Myom1/Sptbn2/Krt19/Npnt/Lamb3/Hmcn1/Dmd/Col10a1/Col11a2/Dnm3/Des/Mmrn1/Col7a1/Fras1/Emid1/Cldn15/Ntn1/Myom2/Sntg1/Col11a1/Col9a3/Krt7/Myh11/Col4a4/Mmrn2/Cldn10/Col8a2/Thbs4/Krt18/Krt8/Sprr1a/Cldn3/Krt23/Krt20/Cldn5/Rims2","cGASKOvsWT"
"GO:0038187","GO:0038187","pattern recognition receptor activity",22,0.775768210947296,2.24682813377823,1.74330226710227e-06,0.000369231420172261,0.000321501639154019,2012,"tags=73%, list=13%, signal=63%","Tlr9/Tlr8/Ptafr/Tlr7/Tlr2/Trim5/Nod2/Trim30a/Trim30d/Clec4n/Tlr4/Fcna/Trim12c/Clec7a/Trim12a/Scarb1","cGASKOvsWT"
"GO:0001614","GO:0001614","purinergic nucleotide receptor activity",15,0.836346746912601,2.23150858781036,4.09534011063003e-06,0.0006195664538796,0.000539476381490512,748,"tags=67%, list=5%, signal=63%","P2ry13/Gpr34/P2ry12/Ptafr/P2ry6/P2rx1/P2ry14/Gpr171/P2rx7/P2rx4","cGASKOvsWT"
"GO:0016502","GO:0016502","nucleotide receptor activity",15,0.836346746912601,2.23150858781036,4.09534011063003e-06,0.0006195664538796,0.000539476381490512,748,"tags=67%, list=5%, signal=63%","P2ry13/Gpr34/P2ry12/Ptafr/P2ry6/P2rx1/P2ry14/Gpr171/P2rx7/P2rx4","cGASKOvsWT"
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",66,0.536493739768935,1.98714436342821,2.18122101534113e-05,0.00288739131905783,0.00251414422294583,2963,"tags=48%, list=19%, signal=39%","Man1a/Man2b1/Man1c1/Hpse/Naglu/Afp/Gusb/Nagpa/Galc/Lyz2/Ganc/Glb1l2/Fuca2/Manba/Man2b2/Hyal1/Neu1/Hexa/Gla/Asah2/Lyz1/Fuca1/Glb1/Gba1/Gm2a/Man2c1/Cemip2/Hexb/Naga/Glb1l/Acer3/Lyzl4","cGASKOvsWT"
"GO:0140416","GO:0140416","transcription regulator inhibitor activity",17,-0.799040974419959,-2.01540460038094,3.4883588007053e-05,0.00410463552216324,0.0035740377887928,1338,"tags=41%, list=9%, signal=38%","Id3/Lyar/Ddit3/Smad7/Smad6/Id1/Lef1","cGASKOvsWT"
"GO:0005537","GO:0005537","mannose binding",18,0.741734126588263,2.10216984197372,7.8740722282814e-05,0.00833864248975,0.00726072344418369,2616,"tags=67%, list=17%, signal=55%","Clec4a1/Clec4a3/Mrc1/Man2b1/Clec4a2/Clec4b1/Clec4n/Clec4a4/Manba/Igf2r/Cln5/Clec4d","cGASKOvsWT"
