"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison"
"R-MMU-191273","R-MMU-191273","Cholesterol biosynthesis",26,0.860917151283741,2.65250595150178,1e-10,5.03e-08,4.41578947368421e-08,1757,"tags=85%, list=12%, signal=75%","Mvd/Dhcr7/Lss/Idi1/Fdps/Acat2/Hmgcs1/Sqle/Nsdhl/Msmo1/Fdft1/Tm7sf2/Dhcr24/Pmvk/Cyp51/Hsd17b7/Hmgcr/Mvk/Srebf2/Ebp/Sc5d/Srebf1","cGASKOvsWT"
"R-MMU-6798695","R-MMU-6798695","Neutrophil degranulation",417,0.463056783087144,2.21362309357218,1e-10,5.03e-08,4.41578947368421e-08,2936,"tags=42%, list=19%, signal=35%","Ear1/Fgl2/Cd33/Pira2/Ear2/Lilra6/Nfasc/Aldoc/Cd55/Cfp/Pirb/Fabp5/Gmfg/Trpm2/Fcgr2b/Mmp8/Atp8a1/Ptx3/Irag2/Fgr/Dock2/Anpep/Ptafr/Iqgap2/Dpp7/Tlr2/Man2b1/P2rx1/Pdxk/Dok3/Ticam2/Fcgr4/Folr2/Ptpn6/Lilra5/Hp/Nfam1/Arhgap9/Syngr1/Grn/Unc13d/Serpinb1a/Cotl1/Siglece/Atp6v0a1/Atp8b4/Lcn2/C5ar1/Mndal/Idh1/Itgb2/Nckap1l/Arhgap45/Cd68/Ptprc/Cd93/Hpse/C3ar1/Aldh3b1/Clec4n/Dnase1l1/Alox5/Hvcn1/Clec5a/Ptprj/Gusb/Stk11ip/Pycard/Rap2b/Gca/Fcna/Cd300a/Ggh/Fpr1/Atp6v0c/Lyz2/Rnaset2b/Sdcbp/Fcer1g/Tarm1/Cybb/Lair1/Fuca2/Serpina3i/Clec12a/Manba/Cyba/Ctsc/Ctsb/Tspan14/Rab31/Hk3/Lilrb4b/Vat1/Snap29/Neu1/Sirpa/Acly/Ctsd/Cmtm6/Cd14/Adam8/Tyrobp/Cxcl1/Pygl/C3/Ctss/Cd47/Vps35l/Psap/Rab3d/Cpped1/Hmox2/H2-T23/Atp6ap2/Atg7/Fuca1/Ctsz/Cstb/Igf2r/Rnaset2a/Slc11a1/Rab7/Lamp1/Acaa1b/Kcnab2/Snap23/Rab5c/Gns/Cd53/Gpr84/Lamtor1/Dera/Ostf1/Mospd2/Asah1/Cpne3/Rhof/Naprt/H2-M3/H2-T15/Lamtor2/Tom1/Lilrb4a/Glb1/Arpc5/Serpinb6a/Stom/Vamp8/Tnfrsf1b/Ctsa/Gm2a/Lamp2/Ifi205/Atp6v1d/Clec4d/Bri3/Hexb/Gsn/Mvp/Arsa/Prtn3/Dynlt1a/Hgsnat/Sting1/Trappc1/Svip/Rap1b/Ifi204/Apaf1/Pnp/Mgst1/Lamtor3/Prkcd/Nfkb1/Ncstn","cGASKOvsWT"
"R-MMU-556833","R-MMU-556833","Metabolism of lipids",461,0.364263413096616,1.75408686067455,8.7263318731315e-10,2.9262299547901e-07,2.56890962861661e-07,3002,"tags=35%, list=20%, signal=29%","Mvd/Dhcr7/Lss/Idi1/Fabp5/Fdps/Hsd17b14/Enpp6/Acat2/Ggt5/Hmgcs1/Tnfaip8l2/Inpp4b/Stard4/Sqle/Agmo/Nsdhl/Cyp27a1/Alox12/Msmo1/Acss3/Fdft1/Dpep2/Tm7sf2/Fabp4/Dhcr24/Pmvk/Hacd4/Aldh3b3/Hpgds/Cyp51/Hsd17b7/Hmgcr/Pik3cd/Pik3cg/Arsg/Akr1c18/Lpin1/Mvk/Lpcat2/Pcyt1b/Cyp4f18/Abcc3/Pik3r6/Inpp5d/Cds1/Aldh3b1/Alox5/Acsl3/Pcyt2/Arsk/Aacs/Cerk/Pccb/Ehhadh/Pik3r5/Galc/Ugcg/Alox5ap/Acox3/Tbxas1/Sptssa/Tnfaip8l1/Hsd3b7/Tnfaip8/Srebf2/Ebp/Dbi/Inpp4a/Hsd17b11/Oxct1/Osbpl8/Scp2/Neu1/Hexa/Acly/Abcd1/Pld2/Pik3r1/Cyp7b1/Gltp/Pon2/Pla2g15/Plpp3/Asah2/Crat/Lpcat3/Mcee/Mmut/Akr1b10/Bmx/Sc5d/Srebf1/Rxra/B3galnt1/Esyt1/Hacl1/Psap/Ddhd1/Osbpl1a/Mtm1/Fads2/Vac14/Slc25a1/Acaa1b/Sgpl1/Echs1/Pcca/Hsd17b4/Gpd1l/Asah1/Phyh/Ppt1/Rufy1/Lpin2/Sumf1/Cbr4/Cpne3/Tbl1xr1/Pip4k2a/Pcyt1a/Srd5a3/Ltc4s/Degs2/Inpp5j/Acad10/Glb1/Liph/Pi4ka/Mtmr1/Mid1ip1/Ppara/Gba1/Ctsa/Pikfyve/Ormdl2/Gm2a/Fasn/Hsd17b12/Sphk2/Tecr/Pip4p1/Hexb/Inpp5k/Dgat2/Arsa/Tafazzin/Crot/Slc51a/Pik3c3/Stard3/Cyp2r1/Acbd5/Glb1l/Gstm4/Pi4kb/Acer3/Rab14/Hmgcl/Plpp6/Sgpp1","cGASKOvsWT"
"R-MMU-6791226","R-MMU-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",168,-0.538321665303154,-2.01807541718927,7.69486908470789e-09,1.29017304986936e-06,1.13263073018771e-06,5741,"tags=76%, list=38%, signal=48%","Rps21/Wdr3/Exosc3/Rps11/Tbl3/Bop1/Rplp0/Rps10/Ddx52/Exosc10/Rps20/Wdr36/Rpl35a/Rpl34/Rps4x/Rpl28/Rpl22l1/Rpp40/Exosc4/Rps7/Rplp1/Rps14/Isg20l2/Rpl39/Rpl23/Rps15/Rpl35/Rps24/Pdcd11/Rps23/Rps13/Noc4l/Rps25/Rpl3/Rpl12/Rpl22/Rpl32/Rps17/Rpl37/Tex10/Wdr46/Rps18/Pno1/Rpl23a/Rpl27a/Rps27l/Rpl13/Rpl26/Nip7/Rps16/Rpl19/Rpl30/Bms1/Rps5/Mphosph6/Rpl29/Rpl6/Rps19/Rps27/Rpl18a/Rpl27/Rpl7/Emg1/Rpl31/Rpl38/Rps26/Rpl15/Rpl11/Utp25/Rps2/Nol11/Rpl36a/Rps8/Exosc2/Rps3a1/Rpl14/Riok1/Rps15a/Rpl5/Fbl/Bysl/Rpsa/Wdr12/Rpl4/Rps3/Rpp25/Ddx21/Rpl8/Exosc8/Rpl13a/Rps6/Mphosph10/Exosc6/Rpp30/Dcaf13/Rpl18/Rpl9/Rpl24/Rpl34-ps1/Ftsj3/Riok2/Csnk1e/Mtrex/Imp3/Rps27rt/Rrp9/Exosc7/Nob1/Rps6-ps4/Rcl1/Pwp2/Ebna1bp2/Ncl/Nop14/Utp18/Nol9/Las1l/Krr1/Tsr1/Dis3/Nop56/Wdr43/Exosc1/Utp4/Nop58/Gnl3/Wdr75/Rpl39l","cGASKOvsWT"
"R-MMU-72312","R-MMU-72312","rRNA processing",168,-0.538321665303154,-2.01807541718927,7.69486908470789e-09,1.29017304986936e-06,1.13263073018771e-06,5741,"tags=76%, list=38%, signal=48%","Rps21/Wdr3/Exosc3/Rps11/Tbl3/Bop1/Rplp0/Rps10/Ddx52/Exosc10/Rps20/Wdr36/Rpl35a/Rpl34/Rps4x/Rpl28/Rpl22l1/Rpp40/Exosc4/Rps7/Rplp1/Rps14/Isg20l2/Rpl39/Rpl23/Rps15/Rpl35/Rps24/Pdcd11/Rps23/Rps13/Noc4l/Rps25/Rpl3/Rpl12/Rpl22/Rpl32/Rps17/Rpl37/Tex10/Wdr46/Rps18/Pno1/Rpl23a/Rpl27a/Rps27l/Rpl13/Rpl26/Nip7/Rps16/Rpl19/Rpl30/Bms1/Rps5/Mphosph6/Rpl29/Rpl6/Rps19/Rps27/Rpl18a/Rpl27/Rpl7/Emg1/Rpl31/Rpl38/Rps26/Rpl15/Rpl11/Utp25/Rps2/Nol11/Rpl36a/Rps8/Exosc2/Rps3a1/Rpl14/Riok1/Rps15a/Rpl5/Fbl/Bysl/Rpsa/Wdr12/Rpl4/Rps3/Rpp25/Ddx21/Rpl8/Exosc8/Rpl13a/Rps6/Mphosph10/Exosc6/Rpp30/Dcaf13/Rpl18/Rpl9/Rpl24/Rpl34-ps1/Ftsj3/Riok2/Csnk1e/Mtrex/Imp3/Rps27rt/Rrp9/Exosc7/Nob1/Rps6-ps4/Rcl1/Pwp2/Ebna1bp2/Ncl/Nop14/Utp18/Nol9/Las1l/Krr1/Tsr1/Dis3/Nop56/Wdr43/Exosc1/Utp4/Nop58/Gnl3/Wdr75/Rpl39l","cGASKOvsWT"
"R-MMU-8868773","R-MMU-8868773","rRNA processing in the nucleus and cytosol",168,-0.538321665303154,-2.01807541718927,7.69486908470789e-09,1.29017304986936e-06,1.13263073018771e-06,5741,"tags=76%, list=38%, signal=48%","Rps21/Wdr3/Exosc3/Rps11/Tbl3/Bop1/Rplp0/Rps10/Ddx52/Exosc10/Rps20/Wdr36/Rpl35a/Rpl34/Rps4x/Rpl28/Rpl22l1/Rpp40/Exosc4/Rps7/Rplp1/Rps14/Isg20l2/Rpl39/Rpl23/Rps15/Rpl35/Rps24/Pdcd11/Rps23/Rps13/Noc4l/Rps25/Rpl3/Rpl12/Rpl22/Rpl32/Rps17/Rpl37/Tex10/Wdr46/Rps18/Pno1/Rpl23a/Rpl27a/Rps27l/Rpl13/Rpl26/Nip7/Rps16/Rpl19/Rpl30/Bms1/Rps5/Mphosph6/Rpl29/Rpl6/Rps19/Rps27/Rpl18a/Rpl27/Rpl7/Emg1/Rpl31/Rpl38/Rps26/Rpl15/Rpl11/Utp25/Rps2/Nol11/Rpl36a/Rps8/Exosc2/Rps3a1/Rpl14/Riok1/Rps15a/Rpl5/Fbl/Bysl/Rpsa/Wdr12/Rpl4/Rps3/Rpp25/Ddx21/Rpl8/Exosc8/Rpl13a/Rps6/Mphosph10/Exosc6/Rpp30/Dcaf13/Rpl18/Rpl9/Rpl24/Rpl34-ps1/Ftsj3/Riok2/Csnk1e/Mtrex/Imp3/Rps27rt/Rrp9/Exosc7/Nob1/Rps6-ps4/Rcl1/Pwp2/Ebna1bp2/Ncl/Nop14/Utp18/Nol9/Las1l/Krr1/Tsr1/Dis3/Nop56/Wdr43/Exosc1/Utp4/Nop58/Gnl3/Wdr75/Rpl39l","cGASKOvsWT"
"R-MMU-8957322","R-MMU-8957322","Metabolism of steroids",83,0.583588257564868,2.26794407957608,1.84309515596104e-08,2.64879103842401e-06,2.32534862534032e-06,1871,"tags=41%, list=12%, signal=36%","Mvd/Dhcr7/Lss/Idi1/Fdps/Hsd17b14/Acat2/Hmgcs1/Stard4/Sqle/Nsdhl/Cyp27a1/Msmo1/Fdft1/Tm7sf2/Dhcr24/Pmvk/Cyp51/Hsd17b7/Hmgcr/Akr1c18/Mvk/Abcc3/Hsd3b7/Srebf2/Ebp/Hsd17b11/Scp2/Cyp7b1/Akr1b10/Sc5d/Srebf1/Rxra/Osbpl1a","cGASKOvsWT"
"R-MMU-72613","R-MMU-72613","Eukaryotic Translation Initiation",111,-0.576369852529826,-2.04482562271548,4.35236901377494e-08,4.86498136428621e-06,4.27092117258149e-06,5794,"tags=86%, list=38%, signal=54%","Rpl10/Eif4b/Rps21/Eif3l/Eif2b4/Rps11/Rplp0/Rps10/Rps20/Rpl35a/Rpl34/Eif2s3x/Rps4x/Rpl28/Rpl22l1/Rps7/Rplp1/Rps14/Eif3i/Rpl39/Rpl23/Eif3b/Rps15/Rpl35/Eif1ax/Rps24/Rps23/Rps13/Rps25/Rpl3/Rpl12/Eif3j1/Rpl22/Rpl32/Rps17/Rpl37/Eif3e/Eif4g1/Eif2s1/Rps18/Rpl23a/Rpl27a/Rps27l/Rpl13/Rpl26/Eif2b2/Rps16/Rpl19/Rpl30/Eif3f/Eif2b5/Rps5/Rpl29/Rpl6/Rps19/Rps27/Rpl18a/Rpl27/Rpl7/Rpl31/Rpl38/Rps26/Eif3m/Rpl15/Eif3c/Rpl11/Rps2/Rpl36a/Eif3a/Rps8/Rps3a1/Rpl14/Rps15a/Rpl5/Eif5/Rpsa/Pabpc1/Eif4ebp1/Rpl4/Rps3/Rpl8/Eif2b1/Rpl13a/Rps6/Rpl18/Rpl9/Rpl24/Rpl34-ps1/Rps27rt/Eif2s2/Rps6-ps4/Eif3d/Eif3g/Eif2b3/Eif4a2/Rpl39l","cGASKOvsWT"
"R-MMU-72737","R-MMU-72737","Cap-dependent Translation Initiation",111,-0.576369852529826,-2.04482562271548,4.35236901377494e-08,4.86498136428621e-06,4.27092117258149e-06,5794,"tags=86%, list=38%, signal=54%","Rpl10/Eif4b/Rps21/Eif3l/Eif2b4/Rps11/Rplp0/Rps10/Rps20/Rpl35a/Rpl34/Eif2s3x/Rps4x/Rpl28/Rpl22l1/Rps7/Rplp1/Rps14/Eif3i/Rpl39/Rpl23/Eif3b/Rps15/Rpl35/Eif1ax/Rps24/Rps23/Rps13/Rps25/Rpl3/Rpl12/Eif3j1/Rpl22/Rpl32/Rps17/Rpl37/Eif3e/Eif4g1/Eif2s1/Rps18/Rpl23a/Rpl27a/Rps27l/Rpl13/Rpl26/Eif2b2/Rps16/Rpl19/Rpl30/Eif3f/Eif2b5/Rps5/Rpl29/Rpl6/Rps19/Rps27/Rpl18a/Rpl27/Rpl7/Rpl31/Rpl38/Rps26/Eif3m/Rpl15/Eif3c/Rpl11/Rps2/Rpl36a/Eif3a/Rps8/Rps3a1/Rpl14/Rps15a/Rpl5/Eif5/Rpsa/Pabpc1/Eif4ebp1/Rpl4/Rps3/Rpl8/Eif2b1/Rpl13a/Rps6/Rpl18/Rpl9/Rpl24/Rpl34-ps1/Rps27rt/Eif2s2/Rps6-ps4/Eif3d/Eif3g/Eif2b3/Eif4a2/Rpl39l","cGASKOvsWT"
"R-MMU-212300","R-MMU-212300","PRC2 methylates histones and DNA",76,0.587206440505633,2.24095124165031,9.24493032531207e-08,9.30039990726394e-06,8.16473320309139e-06,4357,"tags=68%, list=29%, signal=49%","H2bc21/H3c15/H4c11/H2ac10/H2bc27/H3f3a/H2bc1/H2ac19/Phf19/H3c13/H2ac15/H2bc23/H3c2/H2ac23/H4c12/H2ac4/H3c14/H2bc15/H2az2/H3c1/H3c10/H4c6/Dnmt3a/H3c3/H4c1/H4c8/H3c6/H2ac20/H3f3b/H2ac11/H2bc24/H2ac8/H2bc11/H2bc9/H4c2/H4c14/H2bc13/H2ac22/H2bc8/H2ac7/H2aj/Dnmt3b/H2bc7/H3c8/H3c11/H4c16/H2ac24/H2ac18/H3c4/H2bc6/Jarid2/Dnmt1","cGASKOvsWT"
