"","repID","Geneid","is_re","class","superf","fam","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"1","AmnHarb1:PIF-Harbinger:DNA","AmnHarb1:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","AmnHarb1",0.446235193786758,0.0755306564592994,0.783123417892308,0.962323938206539,"Not Sig."
"2","AmnL2-1:L2:LINE","AmnL2-1:L2:LINE",TRUE,"LINE","LINE/L2","AmnL2-1",14.0753150900884,-0.0223273599253216,0.708784361080284,0.937842721673302,"Not Sig."
"3","AmnSINE1:5S-Deu-L2:SINE","AmnSINE1:5S-Deu-L2:SINE",TRUE,"SINE","SINE/5S-Deu-L2","AmnSINE1",14.3332655903641,0.0081532737530833,0.925978313108205,0.985312865046948,"Not Sig."
"4","Arthur1:hAT-Tip100:DNA","Arthur1:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1",4.25251351747366,-0.102025367597214,0.312583477132888,0.834626762189546,"Not Sig."
"5","Arthur1A:hAT-Tip100:DNA","Arthur1A:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1A",0.722433264007974,0.482309695855395,0.020444414985092,0.357777262239111,"Not Sig."
"6","Arthur1B:hAT-Tip100:DNA","Arthur1B:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1B",3.00588727658281,0.15521180781905,0.159933386951946,0.717261149692025,"Not Sig."
"7","Arthur1C:hAT-Tip100:DNA","Arthur1C:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur1C",1.38475641621982,0.0503833893018576,0.73514298122888,0.946102094391524,"Not Sig."
"8","Arthur2:hAT-Tip100:DNA","Arthur2:hAT-Tip100:DNA",TRUE,"DNA","DNA/hAT-Tip100","Arthur2",2.80992790738581,-0.0636127934567071,0.538474300891265,0.913190417443638,"Not Sig."
"9","B1_Mm:Alu:SINE","B1_Mm:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mm",526.96048016323,-0.0740369859291819,0.291785332085898,0.828762003437694,"Not Sig."
"10","B1_Mur1:Alu:SINE","B1_Mur1:Alu:SINE",TRUE,"SINE","SINE/Alu","B1_Mur1",614.898650604366,-0.0579593505244648,0.367332228571074,0.860810946003488,"Not Sig."
