,sname,mean_all,mean_inner,mean_outer,mean_not_inner,outer_over_inner,not_inner_over_inner,genotype,nuc_entropy
0,10_KO,227.46971,349.35422,245.93852,91.79465,0.7039804,0.26275522,KO,13.08646
1,11_KO,211.07867,309.98105,145.03343,61.53382,0.46787837,0.19850834,KO,13.34584
2,12_KO,179.39545,271.51874,139.46791,62.071423,0.5136585,0.22860825,KO,12.97325
3,13_KO,193.78381,287.40015,194.4536,60.492382,0.67659533,0.21048139,KO,13.719023
4,14_KO,186.78687,298.04526,190.15091,67.28828,0.6379934,0.2257653,KO,13.069138
5,15_KO,208.86617,301.21768,209.2242,93.71869,0.6945947,0.31113276,KO,13.0601
6,16_KO,161.45967,225.34416,120.54422,54.247047,0.53493387,0.24072976,KO,13.452166
7,17_KO,195.45729,323.93915,220.01988,75.79767,0.67920125,0.23398736,KO,13.048004
8,18_KO,194.46283,294.97787,182.19803,69.62423,0.6176668,0.23603204,KO,13.18902
9,19_KO,212.4504,316.04926,208.06294,81.303566,0.6583244,0.25724965,KO,13.081743
10,20_KO,200.68155,314.43127,198.40883,67.71887,0.63100857,0.21536939,KO,13.1029625
11,21_KO,163.96918,261.2644,186.06519,64.54316,0.712172,0.24704154,KO,13.076818
12,2_KO,194.1721,292.3146,198.09743,66.04267,0.6776857,0.22593011,KO,13.512024
13,3_KO,207.27829,300.42996,200.31964,91.655945,0.66677654,0.30508256,KO,13.04899
14,4_KO,168.55774,262.4593,153.13,57.971447,0.58344287,0.22087786,KO,13.321094
15,5_KO,151.51297,254.1764,129.24171,49.472355,0.5084725,0.19463786,KO,13.110229
16,6_KO,162.1339,256.67056,143.86325,51.626698,0.56049764,0.20113993,KO,13.322329
17,7_KO,187.96494,281.48282,165.6151,57.27271,0.5883666,0.20346786,KO,13.495864
18,8_KO,206.56992,322.06207,206.01875,67.04199,0.63968647,0.20816481,KO,13.391887
19,9_KO,155.33472,254.3701,139.19145,56.414425,0.5472005,0.22178088,KO,13.027
20,11_WT,162.04625,244.58046,144.82129,63.569916,0.59212124,0.25991413,WT,13.114819
21,12_WT,156.55345,252.25862,146.4923,53.337673,0.58072263,0.21144044,WT,13.089583
22,13_WT,199.89374,335.09863,216.44072,69.57965,0.6459015,0.20763932,WT,13.106009
23,14_WT,196.19781,283.92514,170.44511,62.689335,0.60031706,0.22079529,WT,13.526026
24,15_WT,194.98026,297.77145,147.69379,50.980934,0.49599713,0.17120826,WT,13.690786
25,16_WT,179.78801,292.98627,178.29149,68.972534,0.6085319,0.23541218,WT,12.896271
26,17_WT,166.51768,277.65973,149.21992,54.023895,0.5374201,0.19456871,WT,12.867595
27,18_WT,115.8591,179.23773,75.73428,33.230274,0.4225354,0.18539776,WT,13.25078
28,19_WT,145.38853,234.63106,110.456314,46.44813,0.47076595,0.19796242,WT,13.044818
29,20_WT,143.20778,235.51416,135.12808,45.65889,0.57375777,0.19386898,WT,13.1788
30,21_WT,138.31966,214.71167,89.843636,39.393215,0.41843852,0.18347031,WT,13.189443
31,2_WT,171.09427,317.6647,195.64749,61.34897,0.61589307,0.19312492,WT,12.715174
32,3_WT,179.08385,309.2589,143.7973,52.430645,0.46497384,0.16953641,WT,12.897087
33,4_WT,116.13993,183.28123,77.92043,34.416904,0.42514136,0.18778193,WT,13.180879
34,5_WT,211.2094,327.87506,250.34885,96.88475,0.7635495,0.2954929,WT,12.682313
35,6_WT,220.01752,341.05438,204.37263,74.407845,0.5992377,0.21817003,WT,13.175801
36,7_WT,211.84175,338.11655,243.8859,88.64998,0.72130716,0.26218763,WT,12.806054
37,8_WT,210.76573,334.4086,228.39479,92.402855,0.6829812,0.2763172,WT,12.857406
38,9_WT,199.74535,288.77213,206.03616,93.980515,0.7134905,0.3254487,WT,12.996955
